Time,Actual,Predicted
2012-06-23 19:00,425,411.75824
2012-01-02 20:00,88,83.380196
2011-10-28 02:00,4,9.6580305
2012-05-29 19:00,526,532.7636
2011-01-20 00:00,13,14.599044
2011-02-18 00:00,32,27.343512
2012-05-03 18:00,706,736.7573
2011-12-04 07:00,26,26.470694
2012-03-14 02:00,2,9.68566
2011-10-26 05:00,21,26.149311
2012-12-31 00:00,34,22.44573
2012-04-23 22:00,89,107.970085
2012-06-16 16:00,542,592.99005
2012-06-18 04:00,9,-0.2854851
2011-09-18 17:00,325,317.1106
2011-03-22 08:00,336,323.20575
2011-01-10 08:00,188,184.30417
2012-12-01 14:00,479,428.04483
2012-09-23 06:00,16,24.214972
2012-05-17 17:00,852,818.5512
2011-01-29 03:00,8,8.452196
2012-08-20 06:00,161,148.83252
2011-01-01 19:00,37,37.972446
2011-07-25 10:00,84,99.19194
2011-12-15 22:00,124,129.41475
2012-10-22 06:00,144,146.36642
2012-05-25 02:00,23,10.872795
2012-01-12 15:00,188,176.19592
2012-01-15 04:00,6,6.1297584
2011-12-16 06:00,82,81.19861
2012-10-31 03:00,3,2.2386482
2012-07-26 01:00,29,26.58692
2012-05-10 20:00,374,382.9807
2012-01-14 23:00,76,59.76626
2012-08-16 00:00,76,65.2465
2012-08-07 17:00,868,814.5551
2011-09-27 04:00,8,15.25082
2011-11-23 19:00,122,209.98401
2012-05-15 21:00,109,143.4957
2012-08-15 21:00,315,343.4559
2012-09-15 18:00,614,614.44275
2011-09-14 10:00,142,141.91235
2011-07-02 22:00,201,202.96371
2011-12-27 04:00,3,-4.5383387
2012-07-10 08:00,649,688.6919
2012-04-29 20:00,243,259.49338
2011-09-29 11:00,158,158.5151
2011-04-22 09:00,195,153.60645
2011-02-06 23:00,30,27.84526
2011-07-07 06:00,118,114.767746
2012-09-11 21:00,310,295.3747
2012-02-22 17:00,529,566.13605
2012-08-18 14:00,598,624.52747
2012-01-30 20:00,181,185.02054
2012-04-17 14:00,257,262.33313
2012-11-09 23:00,162,122.85594
2012-10-02 09:00,86,134.75006
2011-09-09 12:00,75,110.1746
2012-05-22 06:00,137,106.06857
2011-07-11 20:00,236,258.91052
2012-01-11 15:00,79,117.736626
2012-03-24 00:00,156,160.41068
2011-08-16 09:00,198,213.11147
2012-03-07 14:00,175,202.37213
2011-06-06 08:00,438,428.1682
2011-11-17 19:00,217,237.15742
2011-09-21 00:00,27,21.86806
2011-06-23 23:00,105,107.22754
2011-04-26 12:00,186,170.35825
2011-05-27 15:00,356,266.67548
2012-07-03 22:00,177,218.53058
2011-05-09 10:00,119,113.01918
2012-01-09 16:00,49,77.06036
2011-03-01 18:00,224,199.12785
2011-11-21 12:00,162,156.87575
2011-11-06 11:00,320,294.04993
2011-01-06 09:00,122,121.81787
2012-03-08 22:00,153,180.08879
2012-03-17 20:00,271,284.62213
2012-06-10 23:00,110,108.40922
2012-11-21 17:00,374,574.9795
2012-10-28 04:00,20,18.266434
2012-01-11 05:00,22,22.56997
2012-09-11 23:00,109,113.055275
2011-03-11 08:00,259,249.62776
2011-11-02 08:00,472,441.96396
2012-03-23 23:00,176,182.70793
2012-10-01 23:00,105,104.549385
2012-09-21 14:00,412,384.13702
2012-05-16 07:00,440,463.2455
2011-07-10 09:00,169,169.52351
2011-12-25 01:00,4,16.445068
2011-03-29 13:00,104,100.09382
2012-01-28 17:00,290,291.7602
2012-08-04 02:00,84,77.27014
2011-03-19 09:00,76,111.72163
2011-12-29 16:00,177,125.8113
2011-07-13 09:00,186,184.50656
2012-01-22 06:00,4,9.51677
2012-01-14 18:00,143,124.958916
2011-01-05 10:00,57,46.5414
2012-01-04 09:00,180,182.952
